head	tail	relation
Centaurea	herbaceous thistle-like flowering plants	instance of
Centaurea	between 350 and 600	number of species
Centaurea	Asteraceae	family
Centaurea	north of the equator	distribution location
Centaurea	Eastern Hemisphere	distribution location
Middle East and surrounding regions	species-rich	has more species than
centaury	Centaurea	common name
centory	Centaurea	common name
Centaurea	starthistles	name used for
Centaurea	knapweeds	name used for
Centaurea	centaureas	name used for
Centaurea	bluets	name used for
loggerheads	plants in parts of England	name used for
common knapweed	plants in parts of England	name used for
Plectocephalus group	basketflowers	name used for
Plectocephalus group	distinct genus	taxonomic status
Cornflowers	few species	applies to
Cornflowers	Centaurea cyanus	most often refers to
Centaurea cyanus	basket flower	name used for
centaury	Centaurea	name used for
centaury	unrelated plant genus Centaurium	denotes
Stillingia	Euphorbiaceae	family
Peter Shin	American animator	instance of
Big Bug Man	Peter Shin	director
Peter Shin	character layout artist	occupation
The Simpsons	Peter Shin	contributor to
Peter Shin	1990 and 1995	time period of work
Family Guy	Peter Shin	director
Dominic Polcino	animation director	instance of
The Simpsons	Dominic Polcino	contributor to
Mission Hill	Dominic Polcino	contributor to
King of the Hill	Dominic Polcino	contributor to
Family Guy	Dominic Polcino	contributor to
Family Guy	Dominic Polcino	director
King of the Hill	Dominic Polcino	director
Family Guy	Dominic Polcino	contributor to
Lovesick Fool	Dominic Polcino	creator of
TV pilot "Lovesick Fool"	FunnyOrDie	debuted on
TV pilot "Lovesick Fool"	Film Festivals	exhibited
TV pilot "Lovesick Fool"	YouTube	distributed in
Michael Polcino	Dominic Polcino	sibling
Michael Polcino	The Simpsons	director
Cleveland Brown Jr.	character in the animated television series Family Guy	instance of
Cleveland Brown Jr.	character in the spin-off series The Cleveland Show	instance of
Cleveland Brown Jr.	Cleveland Brown	parent of
Cleveland Brown Jr.	Loretta	parent of
Cleveland Brown Jr.	slim and hyperactive on Family Guy	depicted
Cleveland Brown Jr.	a marked transformation on The Cleveland Show	underwent operation
Cleveland Brown Jr.	putting on a few pounds since my Quahog days in episode March Dadness of The Cleveland Show	was forced into
Cleveland Brown Jr.	Mike Henry	voice actor for
Cleveland Brown Jr.	Kevin Michael Richardson	voice actor for
Cleveland Brown Jr.	Kevin Michael Richardson	voice actor for
Family Guy: Back to the Multiverse	action-adventure game	instance of
Family Guy: Back to the Multiverse	Microsoft Windows	platform
Family Guy: Back to the Multiverse	PlayStation 3	platform
Family Guy: Back to the Multiverse	Xbox 360	platform
Martin Short	Martin Hayter Short	official name
Martin Short	Canadian-American actor	occupation
Martin Short	comedian	occupation
SCTV	Martin Short	cast member
Saturday Night Live	Martin Short	cast member
Three Amigos	Martin Short	cast member
Three Amigos	1986	date of publication
Innerspace	Martin Short	cast member
Innerspace	1987	date of publication
Three Fugitives	Martin Short	cast member
Three Fugitives	1989	date of publication
Father of the Bride	Martin Short	cast member
Father of the Bride	1991	date of publication
Pure Luck	Martin Short	cast member
Pure Luck	1991	date of publication
Captain Ron	Martin Short	cast member
Captain Ron	1992	date of publication
Father of the Bride Part II	Martin Short	cast member
Father of the Bride Part II	1995	date of publication
Mars Attacks!	Martin Short	cast member
Mars Attacks!	1996	date of publication
Jungle 2 Jungle	Martin Short	cast member
Jungle 2 Jungle	1997	date of publication
Martin Short	Jiminy Glick	creator of
Martin Short	Ed Grimley	creator of
Tony Award	Martin Short	award given to
Martin Short	Tony Award	award received during
Broadway revival of Little Me	Tony Award	award received during
Primetime Glick	American television series	instance of
Primetime Glick	Martin Short	cast member
Primetime Glick	Jiminy Glick	cast member
Primetime Glick	Comedy Central	network
Black Toast Music	Bob Mair	founder of
Black Toast Music	1991	inception
Black Toast Music	independent music publisher	instance of
Black Toast Music	production music library	instance of
Black Toast Music	television series	media presence
True Blood	television series	collection
Dexter	television series	collection
Treme	television series	collection
The Wire	television series	collection
Black Toast Music	motion pictures	media presence
Arthur	motion pictures	collection
Arthur	Russell Brand	cast member
When In Rome	motion pictures	collection
“When In Rome”	Kristen Bell	cast member
Ivory Lee Brown	former professional American football running back	instance of
Ivory Lee Brown	National Football League	career
Ivory Lee Brown	World League of American Football	career
Ivory Lee Brown	Phoenix Cardinals	participating team
Ivory Lee Brown	San Antonio Riders	participating team
Ivory Lee Brown	Adrian Peterson	family
Adrian Peterson	Minnesota Vikings running back	instance of
Lavaedeay Monlique	Vad Lee	alternative name
Vad Lee	American football quarterback	instance of
Vad Lee	Columbus Lions	participating team
Vad Lee	Hillside High School (Durham, North Carolina)	attended
Vad Lee	Georgia Tech	was present at
Vad Lee	2012	start of season
Vad Lee	Tevin Washington	backup vocalist
Vad Lee	the Yellow Jackets' starting quarterback during 2013 season	playing season
Georgia Institute of Technology	Vad Lee	educated at
Vad Lee	James Madison University	educated at
Mike Dudek	American football wide receiver	occupation
Mike Dudek	Illinois Fighting Illini	part of the sports organization
Mike Dudek	Broke Illinois' school record for receiving yards by a freshman as a true freshman	achievement
Arrelious Benn	Set Illinois' school record for receiving yards by a freshman in 2007	achievement
Joshua Ballinger Lippincott Rosen	Josh Rosen	is an alias
Josh Rosen	American football quarterback	occupation
Josh Rosen	UCLA Bruins	part of the sports organization
Josh Rosen	Was a top-rated recruit coming out of high school	achievement
Josh Rosen	2014 "USA Today" High School All-American	award received during
Josh Rosen	Freshman All-American in 2015	award received during
Josh Rosen	Pac-12 Conference Freshman Offensive Player of the Year in 2015	award received during
John August O'Korn	John O'Korn	is an alias
John O'Korn	American football quarterback	occupation
Michigan Wolverines	John O'Korn	member of sports team
Belle & Sebastian: The Adventure Continues	2015 French adventure film	instance of
Belle & Sebastian: The Adventure Continues	Christian Duguay	director
Belle & Sebastian: The Adventure Continues	Belle and Sebastian	sequel of
Konga Yo	1962 French adventure film	instance of
Konga Yo	Yves Allégret	director
Konga Yo	1962 Cannes Film Festival	award received during
The Bar at the Crossing	Le bar de la fourche	alternate title
The Bar at the Crossing	1972 French adventure film	instance of
The Bar at the Crossing	Alain Levent	director
The Bar at the Crossing	22nd Berlin International Film Festival	award received during
Man from Cocody	Le gentleman de Cocody	alternate title
Man from Cocody	French adventure film from 1965	instance of
Man from Cocody	Christian-Jaque	director
Man from Cocody	Christian-Jaque	writer of screenplay for
Man from Cocody	Jacques Emmanuel	writer of screenplay for
Man from Cocody	Jean Marais	cast member
Man from Cocody	Ivory Coast Adventure	alternate title
Man from Cocody	Pulverfass und Diamanten	alternate title
Belle and Sebastian (film)	Belle et Sébastien	alternate title
Belle and Sebastian (film)	2013 French adventure film	instance of
Belle and Sebastian (film)	Nicolas Vanier	director
Belle and Sebastian (film)	novel "Belle et Sébastien" by Cécile Aubry	material composition
Belle and Sebastian (film)	9 December 2015	subsequent to
Lego Indiana Jones 2: The Adventure Continues	Lego-themed action-adventure video game	instance of
Lego Indiana Jones 2: The Adventure Continues	Traveller's Tales	developer
Lego Indiana Jones 2: The Adventure Continues	LucasArts	publisher
Lego Indiana Jones 2: The Adventure Continues	2008 game	sequel of
Lego Indiana Jones 2: The Adventure Continues	all four cinematic adventures	features
Lego Indiana Jones 2: The Adventure Continues	Indiana Jones and the Kingdom of the Crystal Skull	includes content
Lego Indiana Jones 2: The Adventure Continues	Indiana Jones and the Kingdom of the Crystal Skull	contains
Lego Indiana Jones 2: The Adventure Continues	newly designed levels for all four movies	includes
Lego Indiana Jones 2: The Adventure Continues	Wii	platform
Lego Indiana Jones 2: The Adventure Continues	Xbox 360	platform
Corpus: A Home Movie About Selena	film	instance of
Corpus: A Home Movie About Selena	1998	date of publication
Corpus: A Home Movie About Selena	Lourdes Portillo	director
Corpus: A Home Movie About Selena	Selena Quintanilla-Pérez	subject is
Corpus: A Home Movie About Selena	transformation of Selena Quintanilla-Pérez from a popular entertainer into a modern-day saint and role model	describes
Corpus: A Home Movie About Selena	authentic home videos	is sourced from
Corpus: A Home Movie About Selena	news stories	is sourced from
Corpus: A Home Movie About Selena	footage from concerts	is sourced from
Corpus: A Home Movie About Selena	a debate between intellectuals	is sourced from
Corpus: A Home Movie About Selena	Selena Quintanilla-Pérez and Selena Quintanilla-Pérez’s murder at the hands of Yolanda Saldivar	analyzes
Yolanda Saldivar	president of Selena's fan club	position held from
Mirador de la Flor	Lookout of the Flower	name (translation)
Mirador de la Flor	monument	instance of
Mirador de la Flor	1997	revealed to be
Mirador de la Flor	Selena Quintanilla-Pérez	honors
Selena Quintanilla-Pérez	Tejano singer	instance of
Yolanda Saldívar	Selena Quintanilla-Pérez	perpetrator
Yolanda Saldívar	Selena Quintanilla-Pérez's assistant	occupation
Yolanda Saldívar	head of Selena Quintanilla-Pérez's fan club	occupation
Mirador de la Flor	Seaside Memorial Park	is located near
Seaside Memorial Park	Selena Quintanilla-Pérez	contains substance
Mirador de la Flor	corner of Peoples Street T-Head and Shoreline Boulevard	coordinate location
Mirador de la Flor	5'8" life-sized bronze statue of Selena Quintanilla-Pérez	contains
statue of Selena Quintanilla-Pérez	Selena Quintanilla-Pérez wearing a leather jacket with microphone in hand	depicted
statue of Selena Quintanilla-Pérez	H.W. "Buddy" Tatum	artist of work
H.W. "Buddy" Tatum	Corpus Christi artist	instance of
statue of Selena Quintanilla-Pérez	Selena Quintanilla-Pérez leaning against a concrete pillar looking towards the Corpus Christi Bay	depicted
Selena (film)	film	instance of
Selena (film)	1997	date of publication
Selena (film)	American biographical musical drama film	instance of
Selena (film)	Gregory Nava	director
Selena (film)	life and career of Selena Quintanilla-Pérez	depicted
Selena Quintanilla-Pérez	Tejano music star	occupation
Selena Quintanilla-Pérez	Yolanda Saldívar	perpetrator
The Burning Tigris: The Armenian Genocide and America's Response	Massacres of the Armenians during the 1890s	topic discussed
The Burning Tigris: The Armenian Genocide and America's Response	Armenian Genocide of 1915	topic discussed
Armenian Genocide of 1915	Ottoman government	perpetrator
Peter Balakian	Young Turks involvement in the Armenian Genocide	author of work
Peter Balakian	archival documents	is sourced from
Peter Balakian	first-person accounts	is sourced from
The Burning Tigris: The Armenian Genocide and America's Response	Raphael Lemkin Prize	award received during
The Burning Tigris: The Armenian Genocide and America's Response	New York Times Notable Book	award received during
The Burning Tigris: The Armenian Genocide and America's Response	New York Times and national best seller	award received during
Peter Balakian	Armenian American poet	instance of
Peter Balakian	writer	occupation
Peter Balakian	academic	occupation
Peter Balakian	Donald M. and Constance H. Rebar Professor of Humanities at Colgate University	position held from
Peter Balakian	Pulitzer Prize for Poetry	award received during
Gottfried von der Goltz	1 June 1964	date of birth
Gottfried von der Goltz	Norwegian violinist	instance of
Gottfried von der Goltz	conductor	occupation
Gottfried von der Goltz	baroque repertoire	field of work
Gottfried von der Goltz	Gottfried von der Goltz's parents	field of work
Gottfried von der Goltz's parents	Georg Conrad von der Goltz and Kirsti Hjort	surname
Gottfried von der Goltz	Hannover	educated at
Gottfried von der Goltz	New York	educated at
Gottfried von der Goltz	Freiburg	educated at
Norddeutscher Rundfunk radio orchestra	Gottfried von der Goltz	employer
Gottfried von der Goltz	21	age requirement
Gottfried von der Goltz	two years later	end date of
Gottfried von der Goltz	career as a soloist	reason for leaving
Gottfried von der Goltz	chamber musician	reason for leaving
Gottfried von der Goltz	conductor	reason for leaving
Gottfried von der Goltz	Freiburger Barockorchester	position held from
Hochschule für Musik Würzburg	Gottfried von der Goltz	faculty
Gottfried von der Goltz	1997 to 2004	employer
Michael William Comrie	Mike Comrie	surname
Mike Comrie	Canadian retired professional ice hockey center	instance of
Mike Comrie	Edmonton Oilers	member of sports team
Mike Comrie	Philadelphia Flyers	member of sports team
Mike Comrie	Phoenix Coyotes	member of sports team
Mike Comrie	Ottawa Senators	member of sports team
Mike Comrie	New York Islanders	member of sports team
Mike Comrie	Pittsburgh Penguins	member of sports team
Mike Comrie	early 2012	date of retirement
Mike Comrie	hip surgery for the third time	underwent operation
Mike Comrie	Hilary Duff	spouse
Mike Comrie	2010	date of marriage
Mike Comrie	one child	has number of children
Hilary Duff	Mike Comrie	date of marriage
Hilary Duff	February 2015	date of marriage
Hilary Duff	irreconcilable differences	date of marriage
Hilary Duff	primary physical and legal joint custody	parent of
Bob Atkins	former American football defensive back	instance of
Bob Atkins	National Football League	member of sports team
St. Louis Cardinals	Bob Atkins	member of sports team
Bob Atkins	1968-1969	time period of activity
Houston Oilers	Bob Atkins	member of sports team
Bob Atkins	1970-1976	time period of activity
Bob Atkins	U.S. Navy Sailor Robert and Mary Brown Atkins	parent of
U.S. Navy Sailor Robert and Mary Brown Atkins	California to Georgia	relocation
U.S. Navy Sailor Robert and Mary Brown Atkins	1949	relocation
Bob Atkins	Luther J. Price High School	educated at
Bob Atkins	1964	year of graduation
Bob Atkins	Grambling State University	educated at
Bob Atkins	Bachelor of Science degree in Physical Education and Recreation	degree awarded to
Bob Atkins	1972	year of graduation
Bob Atkins	Master of Education degree	field of work
Prairie View A&M University	Bob Atkins	degree awarded to
Bob Atkins	1986	year of graduation
2007 St. Louis Cardinals season	the team's 126th season	instance of
Francis	a 1950 American black-and-white comedy film from Universal-International	instance of
Francis the Talking Mule film series	Francis	founder of
Francis	Robert Arthur	executive producer
Francis	Arthur Lubin	director
Francis	Donald O'Connor	cast member
Francis	Patricia Medina	cast member
Francis	Chill Wills	voice actor for
The Palace and the Fortress	Дворец и крепость	official language in
The Palace and the Fortress	"Dvorets i krepost "	official language in
The Palace and the Fortress	a 1924 Soviet silent biopic	instance of
The Palace and the Fortress	Aleksandr Ivanovsky	director
Arthur Lubin	an American film director and producer	instance of
Arthur Lubin	several "Abbott & Costello" films	director
Arthur Lubin	"Phantom of the Opera" (1943)	director
Arthur Lubin	"Francis the Talking Mule" series	director
Mister Ed	Arthur Lubin	creator of
Arthur Lubin	director for Universal Pictures in the 1940s and 1950s	occupation
Arthur Lubin	giving Clint Eastwood his first contract in film	notable
Comedienne	Комедиантка	name in Russian
Comedienne	Komediantka	name in Russian
Comedienne	Soviet silent romantic drama film	instance of
Comedienne	Aleksandr Ivanovsky	director
Aleksandr Ivanovsky	1881	date of birth
Aleksandr Ivanovsky	1968	date of death
Aleksandr Ivanovsky	Russian screenwriter and film director	occupation
Aleksandr Ivanovsky	Soviet era	time period of work
Aleksandr Ivanovsky	Stalin Prize in 1941	award received during
Aleksandr Ivanovsky	work on the 1940 film Musical Story	award received during
Silva (film)	Сильва	name in Russian
Silva (film)	1944 Soviet musical film	instance of
Silva (film)	Aleksandr Ivanovsky	director
Silva (film)	Zoya Smirnova-Nemirovich	cast member
Silva (film)	Sergei Martinson	cast member
Silva (film)	operetta film	genre
Tamer of Tigers	Tiger Girl	alternative name
Tamer of Tigers	Укротительница тигров	name in original language
Tamer of Tigers	Ukrotitelnitsa tigrov	name in original language
Tamer of Tigers	comedy film	instance of
Tamer of Tigers	Lenfilm	executive producer
Adam Smith Chair of Political Economy	University of Glasgow	part of the administrative territorial entity
Adam Smith Chair of Political Economy	Adam Smith	named
Adam Smith	pioneering economist	occupation
Adam Smith	The Wealth of Nations	author of work
Adam Smith	University of Glasgow	notable work
Adam Smith Chair of Political Economy	1896	establishment time
Adam Smith Chair of Political Economy	lectureship	being replaced by
lectureship	1892	establishment time
lectureship	Andrew Stewart	founded
Andrew Stewart	founder of Stewarts & Lloyds tube-manufacturers	occupation
Adam Smith Chair of Political Economy	University Court	appointed to
University Court	a representative of the Merchants' House of Glasgow	collaboration with
University Court	a representative of the Trades House of Glasgow	collaboration with
University Court	a representative of the Chamber of Commerce of Glasgow	collaboration with
Keadue Rovers Football Club	football club	instance of
Keadue Rovers Football Club	Ulster Senior League	league
Keadue Rovers Football Club	1896	date of founding
Keadue Rovers Football Club	Central Park	sports venue
Keadue Rovers Football Club	"The Gulls"	nickname given by
Keadue Rovers Football Club	well-respected junior football club in Ireland	is a description of
Keadue Rovers Football Club	Packie Bonner	member who left
Celtic F.C.	Packie Bonner	member of sports team
Packie Bonner	17	year of signing
Packie Bonner	Keadue Rovers Football Club	member of sports team
Dennis Bonner	Galway United F.C.	member of sports team
Donegal	sports team	instance of
Donegal	sports team	instance of
Tony Boyle	Donegal	participating team
Martin Ferry	Ayr United F.C.	member of sports team
Martin Ferry	Limavady United F.C.	member of sports team
Aston Villa	Lee Boyle	player of team
Heart of Midlothian	Mark Forker	former name
Institute F.C.	Mark Forker	player of team
Manus McCole	Keadue Rovers Football Club	manager
Keadue Rovers Football Club	1996	date of publication
Celtic F.C.	Central Park	location of games
Keadue Rovers Football Club	Celtic playing a game	notable event related to
Round Oak Rag Apple Elevation	1965	date of birth
Round Oak Rag Apple Elevation	RORA Elevation	abbreviation
Round Oak Rag Apple Elevation	one of the most influential artificial insemination Holstein/Friesian bulls of the last century	is a description of
Round Oak Rag Apple Elevation	bull of the century	award received during
Round Oak Rag Apple Elevation	1999	award date
Round Oak Rag Apple Elevation	Tidy Burke Elevation	father
The Big Breakfast	British light entertainment television show	instance of
The Big Breakfast	Channel 4	network
The Big Breakfast	S4C	network
The Big Breakfast	28 September 1992	inception
The Big Breakfast	Planet 24	role in production
Planet 24	Bob Geldof	owner of
Bob Geldof	former Boomtown Rats singer	occupation
Bob Geldof	Band Aid/Live Aid organiser	occupation
Solar Films Inc Oy	Finnish film production company	instance of
Solar Films Inc Oy	1995	inception
Solar Films Inc Oy	leading production company in Finland	is a description of
Solar Films Inc Oy	feature films	role in production
Solar Films Inc Oy	TV productions	role in production
Films produced by Solar Films	23 Finnish film awards	award received during
Films produced by Solar Films	five viewer poll awards for the most popular movie of the year	award received during
Solar Films	thousands of hours of TV entertainment	co-producer of
Solar Films	Finnish TV channels	for producing
Solar Films	Egmont Media Group	owner of
Solar Films	Markus Selin	owner of
Markus Selin	Head of Production	position held from
Bronson Club	Solar Films	acquired from
Mano Film	Mano Produktion	alternative name
Mano Film	Swiss film production company	instance of
Mano Film	1987	date of founding
Mano Film	Anka Schmid	founder of
Mano Film	Agnes Barmettler	founder of
Mano Film	Rachel Schmid	founder of
Mano Film	several feature films	executive producer
Anka Schmid	sole proprietress in 2001	became
Mano Film	interdisciplinary film and art projects	professional name of
The SpongeBob SquarePants Movie	2004 American live-action/animated comedy film	instance of
The SpongeBob SquarePants Movie	SpongeBob SquarePants	is based on
The SpongeBob SquarePants Movie	Stephen Hillenburg	writer
The SpongeBob SquarePants Movie	Stephen Hillenburg	director
The SpongeBob SquarePants Movie	Stephen Hillenburg	executive producer
The SpongeBob SquarePants Movie	Tom Kenny	cast member
The SpongeBob SquarePants Movie	Bill Fagerbakke	cast member
The SpongeBob SquarePants Movie	Clancy Brown	cast member
The SpongeBob SquarePants Movie	Rodger Bumpass	cast member
The SpongeBob SquarePants Movie	Mr. Lawrence	cast member
The SpongeBob SquarePants Movie	Scarlett Johansson	cast member
Canada	British rule	dissolved
Canada	Treaty of Paris (1763)	established as
New France	Treaty of Paris (1763)	ceded to
New France	Canada	is part of
New France	British Empire	ceded to
Royal Proclamation of 1763	colony of Canada	expanded from
Province of Quebec	colony of Canada	succeeded by
Province of Quebec	The Canadas	name changed to
Province of Quebec	Constitutional Act 1791	established as
Upper Canada and Lower Canada	Act of Union 1840	established as
New Brunswick	British maritime colony	instance of
Nova Scotia	British maritime colony	instance of
Dominion of Canada	New Brunswick and Nova Scotia and the British colony of Canada	formed
Dominion of Canada	four provinces	divided by
Newfoundland	Dominion of Canada	excludes
British Columbia	Canada	member of
Newfoundland	British colony	instance of
British Columbia	British colony	instance of
Rupert's Land	Canada	member of
Rupert's Land	large territory	instance of
Canada	remaining colonies and territories within British North America	integrated
Canada	Newfoundland and Labrador	geographic extent
Newfoundland and Labrador	Canada	joined organization
an enlarged Dominion	confederation in 1867	established as
an enlarged Dominion	increased autonomy over domestic affairs	features
Canada	colony within the British Empire	instance of
British Parliament	Canada	subordinate
Statute of Westminster in 1931	Canada was subordinate to the British Parliament	relationship
Statute of Westminster	Canada as an independent peer coequal with the United Kingdom	status during
Statute of Westminster	the Parliament of Canada with legislative sovereignty over all federal matters	applies to
power to change the constitutional laws of Canada	the Parliament of the United Kingdom	part of the historical period
Canada's final vestige of legal dependence on the United Kingdom	1982	end date of
Canada's final vestige of legal dependence on the United Kingdom was terminated	the Canada Act	enacted by legislative body
Canada	the Canada Act	jurisdiction
Canada	completely independent of the United Kingdom	achieved
The Stamp Act Congress or First Congress of the American Colonies	meeting	instance of
Dennis Vitolo	American former race driver	instance of
Dennis Vitolo	CART series	competitor in
Dennis Vitolo	1988 and 1991-1999	participated in season
Dennis Vitolo	36	career start
Dennis Vitolo	1994 Indianapolis 500	event participated in
Dennis Vitolo	notorious crash in 1994 Indianapolis 500	incident
Dennis Vitolo	Nigel Mansell	damage caused by
Nigel Mansell	reigning CART champion	instance of
Dennis Vitolo	Mansell's car	conflict with
Dennis Vitolo	1997 Indianapolis 500	event participated in
1997 Indianapolis 500	Indy Racing League	series
Dennis Vitolo	7th	career
U.S. 500 at Michigan International Speedway	Dennis Vitolo	career path
Dennis Vitolo	much more of a businessman than race car driver	noted as
Dennis Vitolo	sponsorship	secured by
Jeff Wood	American former race car driver	instance of
Jeff Wood	Formula Atlantic Rookie of the Year in 1977	award received during
Jeff Wood	CanAm series	participated in
Jeff Wood	5th place in CanAm series	competed in race
Jeff Wood	Danny Sullivan	is behind
Jeff Wood	3rd place in the 24 Hours of Daytona in 1982	competed in race
Jeff Wood	1983	first season
Jeff Wood's CART debut	Caesars Palace Grand Prix	location in
Jeff Wood	Formula Atlantic West Series	participated in
Jeff Wood	1985 championship in Formula Atlantic West Series	defending champion of
Jeff Wood	1987	season outcome
Jeff Wood's best finish with Dick Simon	10th	result of
Jeff Wood	1988	missed season
Jeff Wood	1989	season outcome
Jeff Wood	practice for 1990 Indianapolis 500	place of crash
The Return of Bruno	debut album by actor Bruce Willis	instance of
The Return of Bruno	Motown	record label
The Return of Bruno	1987	date of publication
The Return of Bruno	an eclectic gathering of R&B music sung by Bruce Willis	is a description of
The Return of Bruno	Booker T. Jones	contributor to
The Return of Bruno	The Pointer Sisters	contributor to
The Return of Bruno	The Temptations	contributor to
The Return of Bruno	a companion piece to an HBO special of the same name	is a description of
The Return of Bruno	Razor & Tie	supplier
The Return of Bruno	1997	date of publication
Unbreakable	2000 American superhero thriller film	instance of
Unbreakable	M. Night Shyamalan	writer
Unbreakable	M. Night Shyamalan	executive producer
Unbreakable	M. Night Shyamalan	director
Unbreakable	Bruce Willis	cast member
Unbreakable	Samuel L. Jackson	cast member
Unbreakable	Robin Wright	cast member
Unbreakable	Spencer Treat Clark	cast member
Unbreakable	the first installment in a trilogy	series
David Dunn	security guard	occupation
David Dunn	a horrific train crash	involved with
David Dunn	Elijah Price	assisted by
Elijah Price	a manipulative disabled comic book shop owner	occupation
David Dunn	he possesses superhuman powers	discovery
David Dunn	fight crime	activity
David Dunn	the true nature of Elijah Price	discovery
David Dunn	a fictional character	instance of
David Dunn	the "Unbreakable" film series	not found in
David Dunn	Bruce Willis	portrayal is of
David Dunn	college football prodigy	occupation
David Dunn	security guard	occupation
David Dunn	superhuman abilities	property
Billy Bathgate	gangster film	instance of
Billy Bathgate	Robert Benton	director
Billy Bathgate	Loren Dean	cast member
Billy Bathgate	Dustin Hoffman	cast member
Billy Bathgate	Nicole Kidman	cast member
Billy Bathgate	Steven Hill	cast member
Billy Bathgate	Steve Buscemi	cast member
Billy Bathgate	Bruce Willis	cast member
Dutch Schultz	Billy Bathgate	character appears in
Billy Bathgate characters	real people from New York of the 1930s	is based on
Billy Bathgate screenplay	Tom Stoppard	written by
Billy Bathgate	E.L. Doctorow's novel of the same name	literary work
E.L. Doctorow	the film	stance on
Walter Bruce Willis	American actor	instance of
Walter Bruce Willis	producer	instance of
"Giant of Castelnau"	three bone fragments	has part of
three bone fragments	a humerus	has part of
three bone fragments	a tibia	has part of
three bone fragments	a femoral mid-shaft	has part of
three bone fragments	Georges Vacher de Lapouge	discovered
three bone fragments	1890	date of discovery
three bone fragments	a Bronze Age burial tumulus	discovered
three bone fragments	the Neolithic	time period of
fossil bones	one of the largest humans known to have existed	may belong to
human	about 3.50 metres tall	height
alleged giant bone fragments	alleged giant bone fragments	subject is
Ascension night heron	Nycticorax olsoni	name given in birth
Ascension night heron	extinct night heron species	instance of
Ascension night heron	Nycticorax	genus
Ascension night heron	South Atlantic island of Ascension	inhabited
Ascension night heron	bone fragments of six specimens	is named after
bone fragments of six specimens	guano deposits on Ascension Island	is found in
bone fragments of six specimens	caves on Ascension Island	is found in
bone fragments of six specimens	Philip Ashmole	described by
bone fragments of six specimens	Kenneth Edwin Laurence Ryder Simmons	described by
bone fragments of six specimens	William Richmond Postle Bourne	described by
bone fragments of six specimens	2003	date of publication
Ascocotyle pindoramensis	fluke	instance of
Ascocotyle pindoramensis	Ascocotyle	genus
Ascocotyle pindoramensis	eastern coast of the Americas	distribution
Ascocotyle pindoramensis	Brazil	distribution location
Ascocotyle pindoramensis	Nicaragua	distribution location
Ascocotyle pindoramensis	Mexico	distribution
Ascocotyle pindoramensis	Louisiana	distribution
Ascocotyle pindoramensis	Florida	distribution
Ascocotyle pindoramensis	Egypt	distribution
Ascocotyle pindoramensis	definitive hosts	host
least bittern ("Ixobrychus exilis")	definitive hosts	instance of
roseate spoonbill ("Platalea ajaja")	definitive hosts	instance of
great blue heron ("Ardea herodias")	definitive hosts	instance of
striated heron ("Butorides striatus")	definitive hosts	instance of
stripe-backed bittern ("Ixobrychus involucris")	definitive hosts	instance of
yellow-crowned night heron ("Nyctanassa violacea")	definitive hosts	instance of
black-crowned night heron ("Nycticorax nycticorax")	definitive hosts	instance of
osprey ("Pandion haliaetus")	definitive hosts	instance of
Neotropic cormorant ("Phalacrocorax brasilianus")	definitive hosts	instance of
marsh rice rat ("Oryzomys palustris")	definitive hosts	instance of
Richard Joseph Durbin	American politician	instance of
Richard Joseph Durbin	senior United States Senator from Illinois	title taken from
Richard Joseph Durbin	1997	term start
Richard Joseph Durbin	Assistant Democratic Leader (whip)	position held from
Assistant Democratic Leader (whip)	second highest position in the Democratic Party leadership in the Senate	is a description of
Richard Joseph Durbin	Minority Whip (2005 to 2007)	position held from
Richard Joseph Durbin	Majority Whip (2007 to 2015)	position held from
Richard Joseph Durbin	Minority Whip (since 2015)	position held from
Edward Jerome "Eddie" Baza Calvo	American Guamanian politician	instance of
Edward Jerome "Eddie" Baza Calvo	eighth and current Governor of the United States territory of Guam	title taken from
Edward Jerome "Eddie" Baza Calvo	2011	term start
Edward Jerome "Eddie" Baza Calvo	Republican Party	member of political party
Edward Jerome "Eddie" Baza Calvo	five-term Senator within the Legislature of Guam	position held from
Edward Jerome "Eddie" Baza Calvo	Governor of Guam	office held by
Carl Gutierrez	Edward Jerome "Eddie" Baza Calvo	won election
Edward Jerome "Eddie" Baza Calvo	Ray Tenorio	runs on
Utah	Class 1 and Class 3	voter
Mike Lee	Senator for Utah	political role
Mike Lee	Republican	political party leader
Orrin Hatch	Republican	political party leader
Orrin Hatch	1977	term start
Orrin Hatch	longest-serving Senator in Utah history	title taken from
Orrin Hatch	longest-serving Republican Senator	title taken from
Orrin Hatch	second most senior Senator overall	title taken from
Patrick Leahy	Vermont	citizenship
Orrin Hatch	President pro tempore of the United States Senate	position held from
Robert Jones Portman	American lawyer	occupation
Robert Jones Portman	junior United States Senator from Ohio	political role
Robert Jones Portman	Republican Party	political party leader
Robert Jones Portman	2011	term start
Robert Jones Portman	congressman	position held from
Robert Jones Portman	United States Trade Representative	position held from
Robert Jones Portman	Director of the Office of Management and Budget	position held from
2011–12 Derby County F.C. season	106th season in the Football League	instance of
2011–12 Derby County F.C. season	113th overall in league football	instance of
2011–12 Derby County F.C. season	fourth consecutive season in the second tier	instance of
2011–12 Derby County F.C. season	44th overall season in league football	instance of
Derby County	winning first 4 league games in August	achieved
winning first 4 league games in August	club's best league start since 1905–06 season	is
Derby County	first round of League Cup	eliminated
elimination from League Cup	League Two opposition	occurred after
elimination from League Cup	third season in a row	occurred after
